"title","format","web_url"
"British Embassy Washington","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-embassy-washington"
"British Consulate General Atlanta","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-atlanta"
"British Consulate General Boston","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-boston"
"British Consulate General Chicago","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-chicago"
"British Consulate General Houston","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-houston"
"British Consulate General Miami","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-miami"
"British Consulate General New York","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-new-york"
"British Consulate General San Francisco","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-san-francisco"
"British Consulate General Los Angeles","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-consulate-general-los-angeles"
"Department for International Trade USA","Worldwide Organisation","https://www.gov.uk/government/world/organisations/department-for-international-trade-in-the-usa"
"British Defence Staff in the USA","Worldwide Organisation","https://www.gov.uk/government/world/organisations/british-defence-staff-in-the-usa"
"UK Science and Innovation Network in the USA","Worldwide Organisation","https://www.gov.uk/government/world/organisations/uk-science-and-innovation-network-in-the-usa"